998 3966
0 4 -99
0 267 64
0 580 58
3 182 35
3 782 20
3 922 64
4 486 27
4 648 97
5 42 40
5 136 96
5 546 98
5 605 89
6 600 48
6 887 17
7 852 52
7 995 97
8 608 69
8 922 3
9 392 3
9 443 21
9 681 12
10 521 66
10 885 78
11 10 35
11 799 69
12 92 18
12 143 100
12 222 79
12 446 37
12 627 95
13 127 89
13 153 35
13 175 32
13 424 11
13 747 70
14 239 52
14 333 75
14 608 96
14 938 48
15 241 15
15 525 92
15 801 46
15 844 3
15 890 39
16 620 62
16 649 54
16 716 35
16 800 31
16 850 57
17 16 38
17 101 51
17 342 68
17 434 4
18 98 29
18 245 2
18 403 73
18 593 46
19 52 2
19 267 51
19 412 83
19 433 96
19 634 39
20 115 17
20 382 27
20 968 50
21 72 86
21 129 78
21 163 24
21 869 81
22 423 26
23 166 38
23 649 73
24 54 72
24 99 40
24 127 11
24 475 33
24 589 94
25 299 46
25 396 63
25 454 50
25 458 84
25 481 14
25 813 17
26 366 87
26 553 42
26 727 19
27 57 59
27 107 88
27 481 20
28 39 10
28 134 70
28 594 15
29 146 49
29 510 87
29 528 42
29 805 98
29 837 72
29 917 20
30 111 21
30 114 53
30 391 45
31 112 58
31 476 25
31 562 16
31 739 98
31 960 36
31 978 49
32 131 91
32 547 81
33 430 12
34 36 41
34 156 64
34 316 25
34 522 58
34 588 51
34 594 67
34 730 76
34 746 10
34 821 54
34 824 96
34 888 19
34 925 24
34 952 11
35 461 68
35 538 10
35 973 52
36 752 65
36 774 81
36 776 71
36 792 85
37 134 34
37 223 16
37 513 43
37 875 59
37 916 32
38 418 40
38 694 94
38 834 81
39 128 31
39 499 75
39 510 92
39 924 72
39 961 39
40 797 17
41 16 29
41 59 89
41 97 83
41 118 5
42 22 98
42 72 37
42 829 100
43 47 17
43 208 60
43 262 11
43 361 84
43 371 69
44 80 62
44 711 49
45 282 50
45 812 33
46 545 33
46 820 83
47 119 49
47 799 76
48 338 42
48 422 80
48 448 16
49 19 36
49 582 60
49 924 46
49 989 10
50 52 52
50 156 17
50 172 49
50 876 68
50 991 46
51 520 37
51 754 51
51 755 50
52 139 35
52 662 87
53 38 50
53 373 52
53 684 46
53 984 61
54 33 36
55 21 14
55 73 22
55 148 84
55 245 64
55 870 55
55 924 16
56 548 46
56 786 3
56 895 92
56 941 88
57 12 83
57 73 7
57 76 23
57 156 43
57 204 52
57 559 32
58 29 95
58 199 69
58 722 80
58 886 63
58 913 15
59 522 17
60 811 13
61 27 64
61 46 52
61 214 100
61 485 14
61 580 4
62 354 45
62 566 74
62 684 39
63 19 59
63 492 96
63 680 22
64 177 22
64 193 51
64 385 38
64 412 68
64 683 54
64 736 29
64 786 55
64 888 37
65 246 35
65 288 77
65 378 80
65 896 87
66 336 9
66 611 74
66 839 56
66 975 89
67 330 36
67 761 70
68 203 6
68 441 48
68 443 34
68 741 58
68 948 48
69 97 48
69 622 61
69 815 92
69 896 22
70 317 99
70 476 51
70 673 17
70 961 20
71 98 72
71 357 68
71 362 57
71 518 40
72 460 22
